code,dt_date,no2_daily,dt_year,dt_weekdays,week_group
GLKP,2022-09-15,14.470893333333333,2022,Thursday,Core Weekdays
GLKP,2022-09-16,20.159214583333334,2022,Friday,Other Weekdays
GLKP,2022-09-17,15.34529375,2022,Saturday,Weekends
GLKP,2022-09-18,11.394357083333333,2022,Sunday,Weekends
GLKP,2022-09-19,14.734647916666667,2022,Monday,Other Weekdays
GLKP,2022-09-20,17.746405416666665,2022,Tuesday,Core Weekdays
GLKP,2022-09-21,19.247902916666668,2022,Wednesday,Core Weekdays
GLKP,2022-09-22,17.46012875,2022,Thursday,Core Weekdays
GLKP,2022-09-23,18.69214,2022,Friday,Other Weekdays
GLKP,2022-09-24,21.03729375,2022,Saturday,Weekends
GLKP,2022-09-25,11.39265,2022,Sunday,Weekends
GLKP,2022-09-26,8.765416666666667,2022,Monday,Other Weekdays
GLKP,2022-09-27,10.088105833333334,2022,Tuesday,Core Weekdays
GLKP,2022-09-28,17.978397083333334,2022,Wednesday,Core Weekdays
GLKP,2022-09-29,21.950932916666666,2022,Thursday,Core Weekdays
GLKP,2022-09-30,9.493214583333334,2022,Friday,Other Weekdays
GLKP,2022-10-01,9.131667083333333,2022,Saturday,Weekends
GLKP,2022-10-02,12.791839166666668,2022,Sunday,Weekends
GLKP,2022-10-03,11.577348333333333,2022,Monday,Other Weekdays
GLKP,2022-10-04,16.043749583333334,2022,Tuesday,Core Weekdays
GLKP,2022-10-05,12.81597304347826,2022,Wednesday,Core Weekdays
GLKP,2022-10-06,8.825673333333333,2022,Thursday,Core Weekdays
GLKP,2022-10-07,16.472155416666666,2022,Friday,Other Weekdays
GLKP,2022-10-08,14.2921125,2022,Saturday,Weekends
GLKP,2022-10-09,9.643099583333333,2022,Sunday,Weekends
GLKP,2022-10-10,15.493694583333333,2022,Monday,Other Weekdays
GLKP,2022-10-11,16.10512875,2022,Tuesday,Core Weekdays
GLKP,2022-10-12,20.59615,2022,Wednesday,Core Weekdays
GLKP,2022-10-13,23.815525,2022,Thursday,Core Weekdays
GLKP,2022-10-14,21.34947625,2022,Friday,Other Weekdays
GLKP,2022-10-15,9.04215875,2022,Saturday,Weekends
GLKP,2022-10-16,10.048609583333333,2022,Sunday,Weekends
GLKP,2022-10-17,13.970571363636363,2022,Monday,Other Weekdays
GLKP,2022-10-18,21.197747083333333,2022,Tuesday,Core Weekdays
GLKP,2022-10-19,7.7295875,2022,Wednesday,Core Weekdays
GLKP,2022-10-20,11.31838875,2022,Thursday,Core Weekdays
GLKP,2022-10-21,15.145022,2022,Friday,Other Weekdays
GLKP,2022-10-22,19.86637608695652,2022,Saturday,Weekends
GLKP,2022-10-23,14.721130416666666,2022,Sunday,Weekends
GLKP,2022-10-24,20.44361,2022,Monday,Other Weekdays
GLKP,2022-10-25,12.451258333333334,2022,Tuesday,Core Weekdays
GLKP,2022-10-26,9.877155833333333,2022,Wednesday,Core Weekdays
GLKP,2022-10-27,19.56948291666667,2022,Thursday,Core Weekdays
GLKP,2022-10-28,9.30665125,2022,Friday,Other Weekdays
GLKP,2022-10-29,16.928220416666665,2022,Saturday,Weekends
GLKP,2022-10-30,7.81753875,2022,Sunday,Weekends
GLKP,2022-10-31,11.232442916666667,2022,Monday,Other Weekdays
GLKP,2022-11-01,15.5262975,2022,Tuesday,Core Weekdays
GLKP,2022-11-02,8.919029583333334,2022,Wednesday,Core Weekdays
GLKP,2022-11-03,25.479538260869564,2022,Thursday,Core Weekdays
GLKP,2022-11-04,32.66542458333333,2022,Friday,Other Weekdays
